dataset,tag,obligation_load(S),n_var_families,n_constr_families,mean_arity,max_arity,var_hub_degree_mean,var_hub_degree_max,family_overlap_mean,family_overlap_max,var_coocc_mean,var_coocc_max,spectral_coupling_index,dyn_dims,scaffold_breadth,scale_vars,scale_constr,scale_tokens
IndustryOR,FoldableTables_multiperiod_workforce,9,6,6,2.0,4,2.0,3,0.144,0.667,1.111,2,1.044,1,1,36,28,560
IndustryOR,Mary_dinner_diet,5,3,5,1.4,3,2.333,3,0.233,1.0,1.0,1,1.019,0,3,14,8,340
IndustryOR,RedStar_container_substitution,7,2,3,1.333,2,2.0,3,0.667,1.0,1.0,1,1.138,0,1,12,14,360
MIPLIB-NL,MultiPeriod_FleetPlanning,5,3,5,2.0,3,3.333,5,0.55,1.0,2.0,3,1.088,1,1,3,5,0
NL4OPT,Ducks_boat_canoe_blend,4,2,3,1.667,2,2.5,3,0.667,1.0,2.0,2,1.014,0,0,2,3,130
OPTEngine,BinPacking_canonical,4,2,3,1.667,2,2.5,3,0.667,1.0,2.0,2,1.014,0,2,10,11,180
