dataset,instance_id,model,scale.n_var_families,scale.n_constr_families,scale.total_incidence,scale.mean_arity,local.incidence_density,local.intersection_density,local.mean_positive_overlap,local.conditional_jaccard,local.all_pair_jaccard,entity.spectral_coupling_index,entity.spectral_radius_raw,entity.treewidth,entity.hubness,entity.cycle_rank,entity.cycle_density,entity.largest_component_ratio,entity.primal_edge_count,entity.max_degree,obligation.spectral_coupling_index,obligation.weighted_spectral_radius_raw,obligation.treewidth,obligation.hubness,obligation.cycle_rank,obligation.cycle_density,obligation.largest_component_ratio,controls.scale_vars,controls.scale_constr
OPTEngine,OPTEngine_Knapsack_10_3_aug,gpt-5.6-sol,1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,"{""status"": ""exact"", ""lower_bound"": 0, ""upper_bound"": 0, ""value"": 0}",0.0,0,0.0,1.0,0,0,1.0,1.0,"{""status"": ""exact"", ""lower_bound"": 1, ""upper_bound"": 1, ""value"": 1}",0.0,0,0.0,1.0,1,2
OPTEngine,OPTEngine_Knapsack_10_3_aug,deepseek-v4-pro,1,2,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,"{""status"": ""exact"", ""lower_bound"": 0, ""upper_bound"": 0, ""value"": 0}",0.0,0,0.0,1.0,0,0,1.0,1.0,"{""status"": ""exact"", ""lower_bound"": 1, ""upper_bound"": 1, ""value"": 1}",0.0,0,0.0,1.0,1,2
